month,oil,gas,inflation,product,usdcny,naphtha,copper,bdi,lldpe,propylene_proxy,product_diff,oil_diff,oil_lag1,oil_diff_lag1,oil_lag2,oil_diff_lag2,oil_lag3,oil_diff_lag3,oil_roll3,oil_roll6,gas_diff,gas_lag1,gas_diff_lag1,gas_lag2,gas_diff_lag2,gas_lag3,gas_diff_lag3,gas_roll3,gas_roll6,inflation_diff,inflation_lag1,inflation_diff_lag1,inflation_lag2,inflation_diff_lag2,inflation_lag3,inflation_diff_lag3,inflation_roll3,inflation_roll6,usdcny_diff,usdcny_lag1,usdcny_diff_lag1,usdcny_lag2,usdcny_diff_lag2,usdcny_lag3,usdcny_diff_lag3,usdcny_roll3,usdcny_roll6,naphtha_diff,naphtha_lag1,naphtha_diff_lag1,naphtha_lag2,naphtha_diff_lag2,naphtha_lag3,naphtha_diff_lag3,naphtha_roll3,naphtha_roll6,copper_diff,copper_lag1,copper_diff_lag1,copper_lag2,copper_diff_lag2,copper_lag3,copper_diff_lag3,copper_roll3,copper_roll6,bdi_diff,bdi_lag1,bdi_diff_lag1,bdi_lag2,bdi_diff_lag2,bdi_lag3,bdi_diff_lag3,bdi_roll3,bdi_roll6,lldpe_diff,lldpe_lag1,lldpe_diff_lag1,lldpe_lag2,lldpe_diff_lag2,lldpe_lag3,lldpe_diff_lag3,lldpe_roll3,lldpe_roll6,propylene_proxy_diff,propylene_proxy_lag1,propylene_proxy_diff_lag1,propylene_proxy_lag2,propylene_proxy_diff_lag2,propylene_proxy_lag3,propylene_proxy_diff_lag3,propylene_proxy_roll3,propylene_proxy_roll6,product_diff_lag1,product_diff_lag2,product_diff_lag3,month_num,year
2014-07-01,106.77,4.05,-0.04,11232.0,6.198436363636364,106.0199966430664,3.2230000495910645,755.0,12000.0,-0.7500033569335898,-206.0,-5.030000000000001,111.8,2.259999999999991,109.54,1.7800000000000011,107.76,0.28000000000000114,109.37,108.70833333333333,-0.54,4.59,0.009999999999999787,4.58,-0.08000000000000007,4.66,-0.2400000000000002,4.406666666666666,4.796666666666667,-0.23,0.19,-0.15999999999999998,0.35,0.019999999999999962,0.33,-0.31,0.16666666666666666,0.3066666666666667,-0.032168398268398235,6.230604761904762,-0.007352380952380777,6.237957142857143,0.013343506493506574,6.224613636363636,0.05173744588744533,6.222332756132755,6.1910146825396835,-3.3900070190429688,109.41000366210938,0.0,109.41000366210938,1.3400039672851562,108.06999969482422,0.30999755859375,108.28000132242839,108.29000091552734,0.08700013160705566,3.135999917984009,0.0,3.135999917984009,0.10649991035461426,3.0295000076293945,-0.01699995994567871,3.1649999618530273,3.134916663169861,-95.0,850.0,-84.0,934.0,-9.0,943.0,-419.0,846.3333333333334,1017.0,-140.0,12140.0,615.0,11525.0,-145.0,11670.0,320.0,11888.333333333334,11653.333333333334,1.6399929809570324,-2.389996337890622,-2.259999999999991,-0.12999633789063125,-0.4399960327148449,0.30999969482421363,0.029997558593748863,-1.0899986775716144,-0.41833241780599195,-597.0,533.0,460.0,7,2014
2014-08-01,101.61,3.91,-0.17,11599.0,6.15412857142857,103.19000244140625,3.134999990463257,1147.0,11040.0,1.5800024414062506,367.0,-5.159999999999997,106.77,-5.030000000000001,111.8,2.259999999999991,109.54,1.7800000000000011,106.72666666666665,107.49333333333334,-0.13999999999999968,4.05,-0.54,4.59,0.009999999999999787,4.58,-0.08000000000000007,4.183333333333334,4.448333333333333,-0.13,-0.04,-0.23,0.19,-0.15999999999999998,0.35,0.019999999999999962,-0.006666666666666672,0.21666666666666667,-0.04430779220779346,6.198436363636364,-0.032168398268398235,6.230604761904762,-0.007352380952380777,6.237957142857143,0.013343506493506574,6.1943898989899,6.203102777777777,-2.8299942016601562,106.0199966430664,-3.3900070190429688,109.41000366210938,0.0,109.41000366210938,1.3400039672851562,106.20666758219402,107.31000137329102,-0.08800005912780762,3.2230000495910645,0.08700013160705566,3.135999917984009,0.0,3.135999917984009,0.10649991035461426,3.1646666526794434,3.1176666418711343,392.0,755.0,-95.0,850.0,-84.0,934.0,-9.0,917.3333333333334,998.5,-960.0,12000.0,-140.0,12140.0,615.0,11525.0,-145.0,11726.666666666666,11620.833333333334,2.3300057983398403,-0.7500033569335898,1.6399929809570324,-2.389996337890622,-2.259999999999991,-0.12999633789063125,-0.4399960327148449,-0.5199990844726537,-0.18333196004231903,-206.0,-597.0,533.0,8,2014
2014-09-01,97.09,3.92,0.08,10818.0,6.138228571428571,94.66999816894531,3.005500078201294,1063.0,10995.0,-2.420001831054691,-781.0,-4.519999999999996,101.61,-5.159999999999997,106.77,-5.030000000000001,111.8,2.259999999999991,101.82333333333334,105.76166666666667,0.009999999999999787,3.91,-0.13999999999999968,4.05,-0.54,4.59,0.009999999999999787,3.9599999999999995,4.284999999999999,0.25,-0.17,-0.13,-0.04,-0.23,0.19,-0.15999999999999998,-0.043333333333333335,0.12333333333333334,-0.01589999999999936,6.15412857142857,-0.04430779220779346,6.198436363636364,-0.032168398268398235,6.230604761904762,-0.007352380952380777,6.163597835497836,6.197328174603174,-8.520004272460938,103.19000244140625,-2.8299942016601562,106.0199966430664,-3.3900070190429688,109.41000366210938,0.0,101.29333241780598,105.12833404541016,-0.1294999122619629,3.134999990463257,-0.08800005912780762,3.2230000495910645,0.08700013160705566,3.135999917984009,0.0,3.121166706085205,3.1108333269755044,-84.0,1147.0,392.0,755.0,-95.0,850.0,-84.0,988.3333333333334,948.6666666666666,-45.0,11040.0,-960.0,12000.0,-140.0,12140.0,615.0,11345.0,11561.666666666666,-4.0000042724609415,1.5800024414062506,2.3300057983398403,-0.7500033569335898,1.6399929809570324,-2.389996337890622,-2.259999999999991,-0.5300009155273434,-0.6333326212565117,367.0,-206.0,-597.0,9,2014
2014-10-01,87.43,3.78,-0.25,10600.0,6.125050000000001,85.86000061035156,3.061000108718872,1428.0,10535.0,-1.5699993896484443,-218.0,-9.659999999999997,97.09,-4.519999999999996,101.61,-5.159999999999997,106.77,-5.030000000000001,95.37666666666667,102.37333333333333,-0.14000000000000012,3.92,0.009999999999999787,3.91,-0.13999999999999968,4.05,-0.54,3.8699999999999997,4.138333333333333,-0.33,0.08,0.25,-0.17,-0.13,-0.04,-0.23,-0.11333333333333333,0.02666666666666666,-0.013178571428570152,6.138228571428571,-0.01589999999999936,6.15412857142857,-0.04430779220779346,6.198436363636364,-0.032168398268398235,6.139135714285715,6.180734235209235,-8.80999755859375,94.66999816894531,-8.520004272460938,103.19000244140625,-2.8299942016601562,106.0199966430664,-3.3900070190429688,94.57333374023438,101.42666753133138,0.055500030517578125,3.005500078201294,-0.1294999122619629,3.134999990463257,-0.08800005912780762,3.2230000495910645,0.08700013160705566,3.067166725794474,3.116083343823751,365.0,1063.0,-84.0,1147.0,392.0,755.0,-95.0,1212.6666666666667,1029.5,-460.0,10995.0,-45.0,11040.0,-960.0,12000.0,-140.0,10856.666666666666,11372.5,0.8500024414062466,-2.420001831054691,-4.0000042724609415,1.5800024414062506,2.3300057983398403,-0.7500033569335898,1.6399929809570324,-0.8033329264322949,-0.9466658020019546,-781.0,367.0,-206.0,10,2014
2014-11-01,79.44,4.12,-0.54,10999.0,6.124894444444444,70.1500015258789,2.859999895095825,1153.0,10240.0,-9.289998474121091,399.0,-7.990000000000009,87.43,-9.659999999999997,97.09,-4.519999999999996,101.61,-5.159999999999997,87.98666666666668,97.35666666666667,0.3400000000000003,3.78,-0.14000000000000012,3.92,0.009999999999999787,3.91,-0.13999999999999968,3.94,4.0616666666666665,-0.29000000000000004,-0.25,-0.33,0.08,0.25,-0.17,-0.13,-0.23666666666666666,-0.12166666666666666,-0.00015555555555657463,6.125050000000001,-0.013178571428570152,6.138228571428571,-0.01589999999999936,6.15412857142857,-0.04430779220779346,6.129391005291005,6.161890452140452,-15.709999084472656,85.86000061035156,-8.80999755859375,94.66999816894531,-8.520004272460938,103.19000244140625,-2.8299942016601562,83.56000010172527,94.88333384195964,-0.20100021362304688,3.061000108718872,0.055500030517578125,3.005500078201294,-0.1294999122619629,3.134999990463257,-0.08800005912780762,2.9755000273386636,3.0700833400090537,-275.0,1428.0,365.0,1063.0,-84.0,1147.0,392.0,1214.6666666666667,1066.0,-295.0,10535.0,-460.0,10995.0,-45.0,11040.0,-960.0,10590.0,11158.333333333334,-7.719999084472647,-1.5699993896484443,0.8500024414062466,-2.420001831054691,-4.0000042724609415,1.5800024414062506,2.3300057983398403,-4.426666564941409,-2.473332824707031,-218.0,-781.0,367.0,11,2014
2014-12-01,62.34,3.48,-0.57,9713.0,6.188628571428571,57.33000183105469,2.8385000228881836,782.0,9815.0,-5.009998168945316,-1286.0,-17.099999999999994,79.44,-7.990000000000009,87.43,-9.659999999999997,97.09,-4.519999999999996,76.40333333333334,89.11333333333334,-0.6400000000000001,4.12,0.3400000000000003,3.78,-0.14000000000000012,3.92,0.009999999999999787,3.7933333333333334,3.8766666666666665,-0.029999999999999916,-0.54,-0.29000000000000004,-0.25,-0.33,0.08,0.25,-0.4533333333333333,-0.2483333333333333,0.0637341269841265,6.124894444444444,-0.00015555555555657463,6.125050000000001,-0.013178571428570152,6.138228571428571,-0.01589999999999936,6.146191005291006,6.15489442039442,-12.819999694824219,70.1500015258789,-15.709999084472656,85.86000061035156,-8.80999755859375,94.66999816894531,-8.520004272460938,71.11333465576172,86.20333353678386,-0.0214998722076416,2.859999895095825,-0.20100021362304688,3.061000108718872,0.055500030517578125,3.005500078201294,-0.1294999122619629,2.9198333422342935,3.0205000241597495,-371.0,1153.0,-275.0,1428.0,365.0,1063.0,-84.0,1121.0,1054.6666666666667,-425.0,10240.0,-295.0,10535.0,-460.0,10995.0,-45.0,10196.666666666666,10770.833333333334,4.280000305175776,-9.289998474121091,-7.719999084472647,-1.5699993896484443,0.8500024414062466,-2.420001831054691,-4.0000042724609415,-5.289998677571617,-2.90999979654948,399.0,-218.0,-781.0,12,2014
2015-01-01,47.76,2.99,-0.47,7720.0,6.218135,52.9900016784668,2.5280001163482666,608.0,8950.0,5.230001678466799,-1993.0,-14.580000000000005,62.34,-17.099999999999994,79.44,-7.990000000000009,87.43,-9.659999999999997,63.18,79.27833333333334,-0.48999999999999977,3.48,-0.6400000000000001,4.12,0.3400000000000003,3.78,-0.14000000000000012,3.5300000000000007,3.6999999999999997,0.09999999999999998,-0.57,-0.029999999999999916,-0.54,-0.29000000000000004,-0.25,-0.33,-0.5266666666666666,-0.32,0.02950642857142949,6.188628571428571,0.0637341269841265,6.124894444444444,-0.00015555555555657463,6.125050000000001,-0.013178571428570152,6.1772193386243375,6.1581775264550265,-4.340000152587891,57.33000183105469,-12.819999694824219,70.1500015258789,-15.709999084472656,85.86000061035156,-8.80999755859375,60.15666834513346,77.36500104268391,-0.310499906539917,2.8385000228881836,-0.0214998722076416,2.859999895095825,-0.20100021362304688,3.061000108718872,0.055500030517578125,2.7421666781107583,2.9046667019526162,-174.0,782.0,-371.0,1153.0,-275.0,1428.0,365.0,847.6666666666666,1030.1666666666667,-865.0,9815.0,-425.0,10240.0,-295.0,10535.0,-460.0,9668.333333333334,10262.5,10.239999847412115,-5.009998168945316,4.280000305175776,-9.289998474121091,-7.719999084472647,-1.5699993896484443,0.8500024414062466,-3.0233316548665363,-1.9133322906494155,-1286.0,399.0,-218.0,1,2015
2015-02-01,58.1,2.87,0.43,9415.0,6.2518473684210525,52.9900016784668,2.5280001163482666,540.0,9085.0,-5.1099983215332045,1695.0,10.340000000000003,47.76,-14.580000000000005,62.34,-17.099999999999994,79.44,-7.990000000000009,56.06666666666666,72.02666666666667,-0.1200000000000001,2.99,-0.48999999999999977,3.48,-0.6400000000000001,4.12,0.3400000000000003,3.1133333333333333,3.526666666666667,0.8999999999999999,-0.47,0.09999999999999998,-0.57,-0.029999999999999916,-0.54,-0.29000000000000004,-0.20333333333333328,-0.21999999999999997,0.0337123684210523,6.218135,0.02950642857142949,6.188628571428571,0.0637341269841265,6.124894444444444,-0.00015555555555657463,6.219536979949875,6.174463992620439,0.0,52.9900016784668,-4.340000152587891,57.33000183105469,-12.819999694824219,70.1500015258789,-15.709999084472656,54.436668395996094,68.99833424886067,0.0,2.5280001163482666,-0.310499906539917,2.8385000228881836,-0.0214998722076416,2.859999895095825,-0.20100021362304688,2.6315000851949057,2.8035000562667847,-68.0,608.0,-174.0,782.0,-371.0,1153.0,-275.0,643.3333333333334,929.0,135.0,8950.0,-865.0,9815.0,-425.0,10240.0,-295.0,9283.333333333334,9936.666666666666,-10.340000000000003,5.230001678466799,10.239999847412115,-5.009998168945316,4.280000305175776,-9.289998474121091,-7.719999084472647,-1.6299982706705738,-3.0283324178059914,-1993.0,-1286.0,399.0,2,2015
2015-03-01,55.89,2.83,0.6,8723.0,6.238604545454546,52.9900016784668,2.5280001163482666,602.0,10360.0,-2.8999983215332037,-692.0,-2.210000000000001,58.1,10.340000000000003,47.76,-14.580000000000005,62.34,-17.099999999999994,53.916666666666664,65.16000000000001,-0.040000000000000036,2.87,-0.1200000000000001,2.99,-0.48999999999999977,3.48,-0.6400000000000001,2.8966666666666665,3.345,0.16999999999999998,0.43,0.8999999999999999,-0.47,0.09999999999999998,-0.57,-0.029999999999999916,0.18666666666666673,-0.13333333333333333,-0.013242822966506473,6.2518473684210525,0.0337123684210523,6.218135,0.02950642857142949,6.188628571428571,0.0637341269841265,6.2361956379585335,6.191193321624769,0.0,52.9900016784668,0.0,52.9900016784668,-4.340000152587891,57.33000183105469,-12.819999694824219,52.9900016784668,62.05166816711426,0.0,2.5280001163482666,0.0,2.5280001163482666,-0.310499906539917,2.8385000228881836,-0.0214998722076416,2.5280001163482666,2.7239167292912803,62.0,540.0,-68.0,608.0,-174.0,782.0,-371.0,583.3333333333334,852.1666666666666,1275.0,9085.0,135.0,8950.0,-865.0,9815.0,-425.0,9465.0,9830.833333333334,2.210000000000001,-5.1099983215332045,-10.340000000000003,5.230001678466799,10.239999847412115,-5.009998168945316,4.280000305175776,-0.9266649881998698,-3.1083318328857437,1695.0,-1993.0,-1286.0,3,2015
2015-04-01,59.52,2.61,0.2,9684.0,6.200995454545454,66.77999877929688,2.8864998817443848,591.0,10795.0,7.259998779296872,961.0,3.6300000000000026,55.89,-2.210000000000001,58.1,10.340000000000003,47.76,-14.580000000000005,57.83666666666667,60.508333333333326,-0.2200000000000002,2.83,-0.040000000000000036,2.87,-0.1200000000000001,2.99,-0.48999999999999977,2.7699999999999996,3.15,-0.39999999999999997,0.6,0.16999999999999998,0.43,0.8999999999999999,-0.47,0.09999999999999998,0.4100000000000001,-0.05833333333333334,-0.03760909090909159,6.238604545454546,-0.013242822966506473,6.2518473684210525,0.0337123684210523,6.218135,0.02950642857142949,6.230482456140351,6.2038508973823445,13.789997100830078,52.9900016784668,0.0,52.9900016784668,0.0,52.9900016784668,-4.340000152587891,57.58666737874349,58.87166786193848,0.35849976539611816,2.5280001163482666,0.0,2.5280001163482666,0.0,2.5280001163482666,-0.310499906539917,2.6475000381469727,2.6948333581288657,-11.0,602.0,62.0,540.0,-68.0,608.0,-174.0,577.6666666666666,712.6666666666666,435.0,10360.0,1275.0,9085.0,135.0,8950.0,-865.0,10080.0,9874.166666666666,10.159997100830076,-2.8999983215332037,2.210000000000001,-5.1099983215332045,-10.340000000000003,5.230001678466799,10.239999847412115,-0.2499992879231788,-1.6366654713948574,-692.0,1695.0,-1993.0,4,2015
